omb_cat,name,year,corp,indv,total,gdp,gdp_price_index,corp_adj,indv_adj,total_adj,percent_corp,percent_gdp,percent_indv,percent_omb_cat,percent_total,percent_change,orig_name
Agriculture,Capital Gains Treatment Of Certain Income,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,, 
Natural Resources And Environment,Capital Gains Treatment Of Iron Ore,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,, 
Energy,Capital Gains Treatment Of Royalties On Coal,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,, 
Commerce And Housing,Carryover Basis Of Capital Gains On Gifts,1990,,125000000.0,125000000.0,5914600000000.0,0.604413642166697,,206812010,206812010,,0.00,0.04,0.07,0.04,60.83, 
"Education, Training, Employment, And Social Services",Credit For Child And Dependent Care Expenses,1990,,3895000000.0,3895000000.0,5914600000000.0,0.604413642166697,,6444262221,6444262221,,0.07,1.34,18.94,1.12,1.31, 
Health,Credit For Child Medical Insurance Premiums,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,, 
"Education, Training, Employment, And Social Services",Credit For Disabled Access Expenditures,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,, 
"General Science, Space, And Technology",Credit For Increasing Research Activities,1990,1115000000.0,25000000.0,1140000000.0,5914600000000.0,0.604413642166697,1844763126,41362402,1886125528,1.92,0.02,0.01,36.54,0.33,-3.92, 
Commerce And Housing,Credit For Low-Income Housing Investments,1990,70000000.0,45000000.0,115000000.0,5914600000000.0,0.604413642166697,115814725,74452323,190267049,0.12,0.00,0.02,0.07,0.03,-61.06, 
Income Security,Deductibility Of Casualty Losses,1990,,310000000.0,310000000.0,5914600000000.0,0.604413642166697,,512893784,512893784,,0.01,0.11,0.47,0.09,113.68, 
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Education),1990,500000000.0,1195000000.0,1695000000.0,5914600000000.0,0.604413642166697,827248039,1977122812,2804370851,0.86,0.03,0.41,8.24,0.49,4.18, 
Health,Deductibility Of Charitable Contributions (Health),1990,305000000.0,1225000000.0,1530000000.0,5914600000000.0,0.604413642166697,504621304,2026757695,2531378998,0.53,0.03,0.42,3.87,0.44,4.34, 
"Education, Training, Employment, And Social Services","Deductibility Of Charitable Contributions, Other Than Education And Health",1990,620000000.0,10870000000.0,11490000000.0,5914600000000.0,0.604413642166697,1025787568,17984372360,19010159928,1.07,0.19,3.74,55.89,3.30,4.70, 
Commerce And Housing,Deductibility Of Interest On Consumer Credit,1990,,1525000000.0,1525000000.0,5914600000000.0,0.604413642166697,,2523106518,2523106518,,0.03,0.52,0.91,0.44,-62.70, 
Health,Deductibility Of Medical Expenses,1990,,2860000000.0,2860000000.0,5914600000000.0,0.604413642166697,,4731858781,4731858781,,0.05,0.98,7.23,0.82,2.60, 
Commerce And Housing,Deductibility Of Mortgage Interest On Owner-Occupied Homes,1990,,37580000000.0,37580000000.0,5914600000000.0,0.604413642166697,,62175962583,62175962583,,0.64,12.94,22.50,10.78,6.07, 
Commerce And Housing,Deductibility Of Nonbusiness State And Local Taxes Other Than On Owner-Occupied Homes,1990,,18875000000.0,18875000000.0,5914600000000.0,0.604413642166697,,31228613458,31228613458,,0.32,6.50,11.30,5.42,-1.52, 
Commerce And Housing,Deductibility Of State And Local Property Tax On Owner-Occupied Homes,1990,,9520000000.0,9520000000.0,5914600000000.0,0.604413642166697,,15750802655,15750802655,,0.16,3.28,5.70,2.73,-8.73, 
Agriculture,Deferral Of 1988 Drought-Relief Payments,1990,,-125000000.0,-125000000.0,5914600000000.0,0.604413642166697,,-206812010,-206812010,,-0.00,-0.04,-22.32,-0.04,-163.49, 
Commerce And Housing,Deferral Of Capital Gains On Home Sales,1990,,12635000000.0,12635000000.0,5914600000000.0,0.604413642166697,,20904557936,20904557936,,0.21,4.35,7.56,3.63,1.31, 
Commerce And Housing,Deferral Of Gains From Sale Of Broadcasting Facilities To Minority Owned Business,1990,230000000.0,,230000000.0,5914600000000.0,0.604413642166697,380534098,,380534098,0.40,0.00,,0.14,0.07,, 
International Affairs,Deferral Of Income From Controlled Foreign Corporations,1990,300000000.0,,300000000.0,5914600000000.0,0.604413642166697,496348823,,496348823,0.52,0.01,,4.79,0.09,-61.40, 
Commerce And Housing,Deferral Of Income From Installment Sales,1990,185000000.0,550000000.0,735000000.0,5914600000000.0,0.604413642166697,306081774,909972842,1216054617,0.32,0.01,0.19,0.44,0.21,5.86,Deferral Of Income From Post-1987 Installment Sales
Interest,Deferral Of Interest On Us Savings Bonds,1990,,965000000.0,965000000.0,5914600000000.0,0.604413642166697,,1596588715,1596588715,,0.02,0.33,100.00,0.28,-3.00,Deferral Of Interest On Savings Bonds
Transportation,Deferral Of Tax On Shipping Companies,1990,125000000.0,,125000000.0,5914600000000.0,0.604413642166697,206812010,,206812010,0.22,0.00,,89.29,0.04,4.89, 
Income Security,Earned Income Tax Credit,1990,,1800000000.0,1800000000.0,5914600000000.0,0.604413642166697,,2978092939,2978092939,,0.03,0.62,2.73,0.52,-2.42,Earned Income Credit
"Education, Training, Employment, And Social Services",Employer Provided Child Care Exclusion,1990,,240000000.0,240000000.0,5914600000000.0,0.604413642166697,,397079059,397079059,,0.00,0.08,1.17,0.07,15.80,Exclusion Of Employer Provided Child Care
Energy,Exception From Passive Loss Limitation For Working Interests In Oil And Gas Properties,1990,,180000000.0,180000000.0,5914600000000.0,0.604413642166697,,297809294,297809294,,0.00,0.06,20.93,0.05,28.67, 
Commerce And Housing,"Exception From Passive Loss Rules For $25,000 Of Rental Loss",1990,,6555000000.0,6555000000.0,5914600000000.0,0.604413642166697,,10845221786,10845221786,,0.11,2.26,3.92,1.88,50.25, 
Commerce And Housing,Excess Bad Debt Reserves Of Financial Institutions,1990,155000000.0,,155000000.0,5914600000000.0,0.604413642166697,256446892,,256446892,0.27,0.00,,0.09,0.04,232.39, 
Natural Resources And Environment,"Excess Of Percentage Over Cost Depletion, Nonfuel Minerals",1990,300000000.0,20000000.0,320000000.0,5914600000000.0,0.604413642166697,496348823,33089922,529438745,0.52,0.01,0.01,12.55,0.09,31.40, 
Energy,Excess Of Percentage Over Cost Depletion: Oil And Gas,1990,110000000.0,540000000.0,650000000.0,5914600000000.0,0.604413642166697,181994568,893427882,1075422450,0.19,0.01,0.19,75.58,0.19,60.83, 
Energy,Excess Of Percentage Over Cost Depletion: Other Fuels,1990,135000000.0,10000000.0,145000000.0,5914600000000.0,0.604413642166697,223356970,16544961,239901931,0.23,0.00,0.00,16.86,0.04,3.65, 
National Defense,Exclusion Of Benefits And Allowances To Armed Forces Personnel,1990,,1955000000.0,1955000000.0,5914600000000.0,0.604413642166697,,3234539831,3234539831,,0.03,0.67,100.00,0.56,-0.71, 
Commerce And Housing,Exclusion Of Capital Gains On Home Sales For Persons Age 55 And Over,1990,,3230000000.0,3230000000.0,5914600000000.0,0.604413642166697,,5344022330,5344022330,,0.05,1.11,1.93,0.93,-2.29, 
"Education, Training, Employment, And Social Services",Exclusion Of Certain Foster Care Payments,1990,,20000000.0,20000000.0,5914600000000.0,0.604413642166697,,33089922,33089922,,0.00,0.01,0.10,0.01,-3.50, 
"Education, Training, Employment, And Social Services",Exclusion Of Contributions To Prepaid Legal Services Plans,1990,,70000000.0,70000000.0,5914600000000.0,0.604413642166697,,115814725,115814725,,0.00,0.02,0.34,0.02,3.92, 
"Education, Training, Employment, And Social Services",Exclusion Of Employee Meals And Lodging (Other Than Military),1990,,750000000.0,750000000.0,5914600000000.0,0.604413642166697,,1240872058,1240872058,,0.01,0.26,3.65,0.22,1.22, 
Health,Exclusion Of Employer Contributions For Medical Insurance Premiums And Medical Care,1990,,26360000000.0,26360000000.0,5914600000000.0,0.604413642166697,,43612516596,43612516596,,0.45,9.07,66.65,7.56,-4.19, 
Income Security,Exclusion Of Employer Provided Death Benefits,1990,,20000000.0,20000000.0,5914600000000.0,0.604413642166697,,33089922,33089922,,0.00,0.01,0.03,0.01,-3.50, 
"Education, Training, Employment, And Social Services",Exclusion Of Employer-Provided Educational Assistance,1990,,225000000.0,225000000.0,5914600000000.0,0.604413642166697,,372261617,372261617,,0.00,0.08,1.09,0.06,14.28, 
Veterans Benefits And Services,Exclusion Of Gi Bill Benefits,1990,,45000000.0,45000000.0,5914600000000.0,0.604413642166697,,74452323,74452323,,0.00,0.02,2.28,0.01,-21.05, 
International Affairs,Exclusion Of Income Earned Abroad By Us Citizens,1990,,1205000000.0,1205000000.0,5914600000000.0,0.604413642166697,,1993667773,1993667773,,0.02,0.41,19.23,0.35,0.68, 
International Affairs,Exclusion Of Income Of Foreign Sales Corporations,1990,895000000.0,,895000000.0,5914600000000.0,0.604413642166697,1480773989,,1480773989,1.54,0.02,,14.29,0.26,64.51, 
Community And Regional Development,"Exclusion Of Interest For Airport, Dock, And Similar Bonds",1990,750000000.0,,750000000.0,5914600000000.0,0.604413642166697,1240872058,,1240872058,1.29,0.01,,36.32,0.22,1.22,"Exclusion Of Interest On Idbs For Airports, Docks And Sports And Convention Facilities"
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Bonds For Private Nonprofit Educational Facilities,1990,,305000000.0,305000000.0,5914600000000.0,0.604413642166697,,504621304,504621304,,0.01,0.10,1.48,0.09,9.01,Exclusion Of Interest On State And Local Debt For Private Nonprofit Educational Facilities
Energy,Exclusion Of Interest On Energy Facility Bonds,1990,255000000.0,,255000000.0,5914600000000.0,0.604413642166697,421896500,,421896500,0.44,0.00,,29.65,0.07,-21.88,Exclusion Of Interest On State And Local Industrial Development Bonds For Certain Energy Facilities
Health,Exclusion Of Interest On Hospital Construction Bonds,1990,,2765000000.0,2765000000.0,5914600000000.0,0.604413642166697,,4574681654,4574681654,,0.05,0.95,6.99,0.79,9.80,Exclusion Of Interest On State And Local Debt For Private Nonprofit Health Facilities
Commerce And Housing,Exclusion Of Interest On Life Insurance Savings,1990,55000000.0,7265000000.0,7320000000.0,5914600000000.0,0.604413642166697,90997284,12019914001,12110911285,0.09,0.12,2.50,4.38,2.10,13.38, 
Commerce And Housing,Exclusion Of Interest On Owner-Occupied Mortgage Subsidy Bonds,1990,,1755000000.0,1755000000.0,5914600000000.0,0.604413642166697,,2903640616,2903640616,,0.03,0.60,1.05,0.50,, 
General Purpose Fiscal Assistance,Exclusion Of Interest On Public Purpose State And Local Bonds,1990,2360000000.0,10455000000.0,12815000000.0,5914600000000.0,0.604413642166697,3904610742,17297756488,21202367230,4.07,0.22,3.60,86.82,3.68,11.31,Exclusion Of Interest On Public Purpose State And Local Debt
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Savings Bonds Redeemed To Finance Educational Expenses,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,,Exclusion Of Interest On Savings Bonds Transferred To Educational Institutions
Commerce And Housing,Exclusion Of Interest On Small Issue Bonds,1990,2185000000.0,,2185000000.0,5914600000000.0,0.604413642166697,3615073929,,3615073929,3.77,0.04,,1.31,0.63,-18.90,Exclusion Of Interest On Small Issue Industrial Development Bonds
Commerce And Housing,Exclusion Of Interest On State And Local Debt For Rental Housing,1990,1060000000.0,,1060000000.0,5914600000000.0,0.604413642166697,1753765842,,1753765842,1.83,0.02,,0.63,0.30,-16.16, 
Transportation,Exclusion Of Interest On State And Local Government Bonds For Mass Commuting Vehicles,1990,15000000.0,,15000000.0,5914600000000.0,0.604413642166697,24817441,,24817441,0.03,0.00,,10.71,0.00,-27.63, 
Natural Resources And Environment,Exclusion Of Interest On State And Local Idbs For Pollution Control And Sewage And Waste Disposal Facilities,1990,1425000000.0,,1425000000.0,5914600000000.0,0.604413642166697,2357656910,,2357656910,2.46,0.02,,55.88,0.41,-12.69, 
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Student Loan Bonds,1990,,275000000.0,275000000.0,5914600000000.0,0.604413642166697,,454986421,454986421,,0.00,0.09,1.34,0.08,-8.49,Exclusion Of Interest On State And Local Student Loan Bonds
Veterans Benefits And Services,Exclusion Of Interest On Veterans Housing Bonds,1990,,270000000.0,270000000.0,5914600000000.0,0.604413642166697,,446713941,446713941,,0.00,0.09,13.67,0.08,2.18,Exclusion Of Interest On State And Local Debt For Veterans Housing
Income Security,Exclusion Of Military Disability Pensions,1990,,100000000.0,100000000.0,5914600000000.0,0.604413642166697,,165449608,165449608,,0.00,0.03,0.15,0.03,-8.10, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Accident And Disability Insurance,1990,,125000000.0,125000000.0,5914600000000.0,0.604413642166697,,206812010,206812010,,0.00,0.04,0.19,0.04,-3.50, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Group Term Life Insurance,1990,,2640000000.0,2640000000.0,5914600000000.0,0.604413642166697,,4367869644,4367869644,,0.04,0.91,4.01,0.76,3.56, 
"Education, Training, Employment, And Social Services",Exclusion Of Parsonage Allowances,1990,,195000000.0,195000000.0,5914600000000.0,0.604413642166697,,322626735,322626735,,0.00,0.07,0.95,0.06,7.53, 
Income Security,Exclusion Of Public Assistance Benefits,1990,,375000000.0,375000000.0,5914600000000.0,0.604413642166697,,620436029,620436029,,0.01,0.13,0.57,0.11,6.43, 
Income Security,Exclusion Of Railroad Retirement System Benefits,1990,,305000000.0,305000000.0,5914600000000.0,0.604413642166697,,504621304,504621304,,0.01,0.10,0.46,0.09,7.03, 
"Education, Training, Employment, And Social Services",Exclusion Of Scholarship And Fellowship Income,1990,,665000000.0,665000000.0,5914600000000.0,0.604413642166697,,1100239891,1100239891,,0.01,0.23,3.23,0.19,0.27, 
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Disabled Workers,1990,,1210000000.0,1210000000.0,5914600000000.0,0.604413642166697,,2001940253,2001940253,,0.02,0.42,5.98,0.35,5.67,Exclusion Of Social Security Benefits: Disability Insurance Benefits
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Retired Workers,1990,,16040000000.0,16040000000.0,5914600000000.0,0.604413642166697,,26538117079,26538117079,,0.27,5.52,79.23,4.60,4.30,Exclusion Of Social Security Benefits: Oasi Benefits For Retired Workers
Social Security,"Exclusion Of Social Security Benefits: Social Security Benefits For Spouses, Dependents And Survivors",1990,,2995000000.0,2995000000.0,5914600000000.0,0.604413642166697,,4955215751,4955215751,,0.05,1.03,14.79,0.86,-1.70,Exclusion Of Social Security Benefits: Benefits For Dependents And Survivors
Income Security,Exclusion Of Special Benefits For Disabled Coal Miners,1990,,105000000.0,105000000.0,5914600000000.0,0.604413642166697,,173722088,173722088,,0.00,0.04,0.16,0.03,-7.89, 
Health,Exclusion Of Untaxed Medicare Benefits,1990,,5965000000.0,5965000000.0,5914600000000.0,0.604413642166697,,9869069101,9869069101,,0.10,2.05,15.08,1.71,-3.50, 
Veterans Benefits And Services,Exclusion Of Veterans Death Benefits And Disability Compensation,1990,,1580000000.0,1580000000.0,5914600000000.0,0.604413642166697,,2614103802,2614103802,,0.03,0.54,80.00,0.45,2.33,Exclusion Of Veterans Disability Compensation.
Veterans Benefits And Services,Exclusion Of Veterans Pensions,1990,,80000000.0,80000000.0,5914600000000.0,0.604413642166697,,132359686,132359686,,0.00,0.03,4.05,0.02,-3.50, 
Income Security,Exclusion Of Workers' Compensation Benefits,1990,,2735000000.0,2735000000.0,5914600000000.0,0.604413642166697,,4525046771,4525046771,,0.05,0.94,4.15,0.78,-4.37,Exclusion Of Workmen'S Compensation Benefits.........
Community And Regional Development,Exemption Of Certain Mutuals' And Cooperatives' Income,1990,760000000.0,,760000000.0,5914600000000.0,0.604413642166697,1257417019,,1257417019,1.31,0.01,,36.80,0.22,1.16, 
Commerce And Housing,Exemption Of Credit Union Income,1990,430000000.0,,430000000.0,5914600000000.0,0.604413642166697,711433313,,711433313,0.74,0.01,,0.26,0.12,-6.75, 
Commerce And Housing,Exemption Of Ric Expenses From The 2% Floor Miscellaneous Itemized Deduction,1990,,320000000.0,320000000.0,5914600000000.0,0.604413642166697,,529438745,529438745,,0.01,0.11,0.19,0.09,2.93, 
Agriculture,Expensing Of Certain Capital Outlays,1990,60000000.0,435000000.0,495000000.0,5914600000000.0,0.604413642166697,99269765,719705794,818975558,0.10,0.01,0.15,88.39,0.14,-5.41, 
Agriculture,Expensing Of Certain Multiperiod Production Costs,1990,60000000.0,120000000.0,180000000.0,5914600000000.0,0.604413642166697,99269765,198539529,297809294,0.10,0.00,0.04,32.14,0.05,104.35, 
"Education, Training, Employment, And Social Services",Expensing Of Costs Of Removing Certain Architectural Barriers To The Handicapped,1990,15000000.0,5000000.0,20000000.0,5914600000000.0,0.604413642166697,24817441,8272480,33089922,0.03,0.00,0.00,0.10,0.01,-3.50, 
Natural Resources And Environment,"Expensing Of Exploration And Development Costs, Nonfuel Minerals",1990,35000000.0,5000000.0,40000000.0,5914600000000.0,0.604413642166697,57907363,8272480,66179843,0.06,0.00,0.00,1.57,0.01,-3.50, 
Energy,Expensing Of Exploration And Development Costs: Oil And Gas,1990,-425000000.0,-75000000.0,-500000000.0,5914600000000.0,0.604413642166697,-703160833,-124087206,-827248039,-0.73,-0.01,-0.03,-58.14,-0.14,642.31, 
Energy,Expensing Of Exploration And Development Costs: Other Fuels,1990,40000000.0,5000000.0,45000000.0,5914600000000.0,0.604413642166697,66179843,8272480,74452323,0.07,0.00,0.00,5.23,0.01,24.07, 
Natural Resources And Environment,Expensing Of Multiperiod Timber Growing Costs,1990,205000000.0,155000000.0,360000000.0,5914600000000.0,0.604413642166697,339171696,256446892,595618588,0.35,0.01,0.05,14.12,0.10,12.06, 
"General Science, Space, And Technology",Expensing Of Research And Experimentation Expenditures,1990,1720000000.0,30000000.0,1750000000.0,5914600000000.0,0.604413642166697,2845733253,49634882,2895368135,2.96,0.03,0.01,56.09,0.50,-3.50,Expensing Of Research And Development Expenditures
Income Security,Extending Tax Exempt Organization Status To Voluntary Employee Beneficiary And Other Associations,1990,,380000000.0,380000000.0,5914600000000.0,0.604413642166697,,628708509,628708509,,0.01,0.13,0.58,0.11,4.77, 
Community And Regional Development,Five-Year Amortization For Housing Rehabilitation,1990,5000000.0,5000000.0,10000000.0,5914600000000.0,0.604413642166697,8272480,8272480,16544961,0.01,0.00,0.00,0.48,0.00,-35.67, 
Income Security,Income Of Trusts To Finance Supplementary Unemployment Benefits,1990,,30000000.0,30000000.0,5914600000000.0,0.604413642166697,,49634882,49634882,,0.00,0.01,0.05,0.01,-3.50, 
International Affairs,Interest Allocation Rules Exception For Certain Financial Operations,1990,85000000.0,,85000000.0,5914600000000.0,0.604413642166697,140632167,,140632167,0.15,0.00,,1.36,0.02,26.19,Certain Nonfinancial Institutions Operations Interest Allocation Rules Exception
International Affairs,Inventory Property Sales Source Rules Exception,1990,3780000000.0,,3780000000.0,5914600000000.0,0.604413642166697,6253995172,,6253995172,6.51,0.06,,60.34,1.08,82.38, 
Natural Resources And Environment,Investment Credit And Seven-Year Amortization For Reforestation Expenditures,1990,40000000.0,170000000.0,210000000.0,5914600000000.0,0.604413642166697,66179843,281264333,347444176,0.07,0.00,0.06,8.24,0.06,1.32, 
"Education, Training, Employment, And Social Services",Investment Credit For Esops,1990,85000000.0,,85000000.0,5914600000000.0,0.604413642166697,140632167,,140632167,0.15,0.00,,0.41,0.02,-43.43, 
Community And Regional Development,Investment Credit For Rehabilitation Of Structures (Other Than Historic),1990,110000000.0,435000000.0,545000000.0,5914600000000.0,0.604413642166697,181994568,719705794,901700362,0.19,0.01,0.15,26.39,0.16,304.56, 
Commerce And Housing,"Investment Credit, Other Than Esops, Rehabilitation Of Structures, Energy Property, And Reforestation Expenditures",1990,2750000000.0,,2750000000.0,5914600000000.0,0.604413642166697,4549864212,,4549864212,4.74,0.05,,1.65,0.79,-60.12, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Employer Plans,1990,,45385000000.0,45385000000.0,5914600000000.0,0.604413642166697,,75089304466,75089304466,,0.77,15.62,68.85,13.02,2.32, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Individual Retirement Accounts,1990,,6620000000.0,6620000000.0,5914600000000.0,0.604413642166697,,10952764031,10952764031,,0.11,2.28,10.04,1.90,17.43, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Keogh Plans,1990,,1460000000.0,1460000000.0,5914600000000.0,0.604413642166697,,2415564273,2415564273,,0.02,0.50,2.21,0.42,6.33, 
Commerce And Housing,Ordinary Income Treatment Of Loss From Small Business Corporation Stock Sale,1990,,20000000.0,20000000.0,5914600000000.0,0.604413642166697,,33089922,33089922,,0.00,0.01,0.01,0.01,-35.67, 
"Education, Training, Employment, And Social Services",Parental Personal Exemption For Students Age 19 Or Over,1990,,410000000.0,410000000.0,5914600000000.0,0.604413642166697,,678343392,678343392,,0.01,0.14,1.99,0.12,0.16, 
Commerce And Housing,Permanent Exceptions From Imputed Interest Rules,1990,,125000000.0,125000000.0,5914600000000.0,0.604413642166697,,206812010,206812010,,0.00,0.04,0.07,0.04,9.66, 
Commerce And Housing,"Reduced Rates On The First $100,000 Of Corporate Income",1990,3080000000.0,,3080000000.0,5914600000000.0,0.604413642166697,5095847918,,5095847918,5.31,0.05,,1.84,0.88,3.38, 
Commerce And Housing,Safe Harbor Leasing Rules,1990,-710000000.0,,-710000000.0,5914600000000.0,0.604413642166697,-1174692215,,-1174692215,-1.22,-0.01,,-0.43,-0.20,-3.50, 
Commerce And Housing,Small Life Insurance Company Deduction,1990,80000000.0,,80000000.0,5914600000000.0,0.604413642166697,132359686,,132359686,0.14,0.00,,0.05,0.02,2.93, 
Commerce And Housing,Special Alternative Tax On Small Property And Casualty Insurance Companies,1990,,,,5914600000000.0,0.604413642166697,,,,,,,,,, 
Health,Special Blue Cross/Blue Shield Deduction,1990,65000000.0,,65000000.0,5914600000000.0,0.604413642166697,107542245,,107542245,0.11,0.00,,0.16,0.02,14.05, 
Income Security,Special Esop Rules,1990,1855000000.0,,1855000000.0,5914600000000.0,0.604413642166697,3069090223,,3069090223,3.20,0.03,,2.81,0.53,200.85,Special Esop Rules (Other Than Investment Credit)
Commerce And Housing,Special Merger Rules For Financial Institutions,1990,3885000000.0,,3885000000.0,5914600000000.0,0.604413642166697,6427717260,,6427717260,6.70,0.07,,2.33,1.11,-3.50, 
Natural Resources And Environment,Special Rules For Mining Reclamation Reserves,1990,45000000.0,5000000.0,50000000.0,5914600000000.0,0.604413642166697,74452323,8272480,82724804,0.08,0.00,0.00,1.96,0.01,-3.50, 
Commerce And Housing,Step-Up Basis Of Capital Gains At Death,1990,,22150000000.0,22150000000.0,5914600000000.0,0.604413642166697,,36647088111,36647088111,,0.37,7.62,13.26,6.36,73.64, 
"General Science, Space, And Technology",Suspension Of The Allocation Of Research And Experimentation Expenditures,1990,230000000.0,,230000000.0,5914600000000.0,0.604413642166697,380534098,,380534098,0.40,0.00,,7.37,0.07,, 
"Education, Training, Employment, And Social Services",Targeted Jobs Credit,1990,185000000.0,35000000.0,220000000.0,5914600000000.0,0.604413642166697,306081774,57907363,363989137,0.32,0.00,0.01,1.07,0.06,-37.56, 
General Purpose Fiscal Assistance,Tax Credit For Corporations Receiving Income From Doing Business In United States Possessions,1990,1945000000.0,,1945000000.0,5914600000000.0,0.604413642166697,3217994870,,3217994870,3.35,0.03,,13.18,0.56,-1.73, 
Health,Tax Credit For Orphan Drug Research,1990,5000000.0,,5000000.0,5914600000000.0,0.604413642166697,8272480,,8272480,0.01,0.00,,0.01,0.00,, 
Income Security,Tax Credit For The Elderly And Disabled,1990,,70000000.0,70000000.0,5914600000000.0,0.604413642166697,,115814725,115814725,,0.00,0.02,0.11,0.02,-9.93, 
Commerce And Housing,Tax Exemption Of Certain Insurance Companies Owned By Tax-Exempt Organizations,1990,15000000.0,,15000000.0,5914600000000.0,0.604413642166697,24817441,,24817441,0.03,0.00,,0.01,0.00,-42.10,Tax Exemption Of Certain Insurance Companies
Natural Resources And Environment,Tax Incentives For Preservation Of Historic Structures,1990,50000000.0,95000000.0,145000000.0,5914600000000.0,0.604413642166697,82724804,157177127,239901931,0.09,0.00,0.03,5.69,0.04,-0.05, 
Commerce And Housing,Treatment Of Alaska Native Corporations,1990,235000000.0,,235000000.0,5914600000000.0,0.604413642166697,388806578,,388806578,0.40,0.00,,0.14,0.07,-65.64, 
Agriculture,Treatment Of Loans Forgiven For Solvent Farmers,1990,,10000000.0,10000000.0,5914600000000.0,0.604413642166697,,16544961,16544961,,0.00,0.00,1.79,0.00,-3.50,Treatment Of Loans Forgiven Solvent Farmers As If Insolvent
Commerce And Housing,Accelerated Depreciation Of Buildings Other Than Rental Housing,1991,4160000000.0,1650000000.0,5810000000.0,6110000000000.0,0.6258435163231808,6647028996,2636441789,9283470785,8.93,0.10,0.53,3.51,1.63,-6.09, 
Commerce And Housing,Accelerated Depreciation Of Machinery And Equipment,1991,14730000000.0,3995000000.0,18725000000.0,6110000000000.0,0.6258435163231808,23536234883,6383384817,29919619700,31.61,0.31,1.29,11.32,5.27,-22.45, 
Commerce And Housing,Accelerated Depreciation On Rental Housing,1991,935000000.0,495000000.0,1430000000.0,6110000000000.0,0.6258435163231808,1493983681,790932537,2284916217,2.01,0.02,0.16,0.86,0.40,-14.22, 
Income Security,Additional Deduction For The Blind,1991,,30000000.0,30000000.0,6110000000000.0,0.6258435163231808,,47935305,47935305,,0.00,0.01,0.04,0.01,-17.22, 
Income Security,Additional Deduction For The Elderly,1991,,1400000000.0,1400000000.0,6110000000000.0,0.6258435163231808,,2236980912,2236980912,,0.02,0.45,2.06,0.39,-13.61, 
Energy,Alcohol Fuel Credits,1991,,,,6110000000000.0,0.6258435163231808,,,,,,,,,, 
Energy,Alternative Fuel Production Credit,1991,205000000.0,50000000.0,255000000.0,6110000000000.0,0.6258435163231808,327557919,79892175,407450095,0.44,0.00,0.02,26.15,0.07,2362.68, 
Commerce And Housing,Amortization Of Start-Up Costs,1991,35000000.0,145000000.0,180000000.0,6110000000000.0,0.6258435163231808,55924523,231687309,287611832,0.08,0.00,0.05,0.11,0.05,2.26, 
Commerce And Housing,"Capital Gains (Except Agriculture, Timber, Iron Ore, And Coal)",1991,,2205000000.0,2205000000.0,6110000000000.0,0.6258435163231808,,3523244937,3523244937,,0.04,0.71,1.33,0.62,, 
Agriculture,Capital Gains Treatment Of Certain Income,1991,,45000000.0,45000000.0,6110000000000.0,0.6258435163231808,,71902958,71902958,,0.00,0.01,6.77,0.01,, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,1991,,5000000.0,5000000.0,6110000000000.0,0.6258435163231808,,7989218,7989218,,0.00,0.00,0.22,0.00,, 
Natural Resources And Environment,Capital Gains Treatment Of Iron Ore,1991,,,,6110000000000.0,0.6258435163231808,,,,,,,,,, 
Energy,Capital Gains Treatment Of Royalties On Coal,1991,,5000000.0,5000000.0,6110000000000.0,0.6258435163231808,,7989218,7989218,,0.00,0.00,0.51,0.00,, 
Commerce And Housing,Carryover Basis Of Capital Gains On Gifts,1991,,125000000.0,125000000.0,6110000000000.0,0.6258435163231808,,199730439,199730439,,0.00,0.04,0.08,0.04,-3.42, 
"Education, Training, Employment, And Social Services",Credit For Child And Dependent Care Expenses,1991,,2545000000.0,2545000000.0,6110000000000.0,0.6258435163231808,,4066511730,4066511730,,0.04,0.82,12.27,0.72,-36.90, 
Health,Credit For Child Medical Insurance Premiums,1991,,5000000.0,5000000.0,6110000000000.0,0.6258435163231808,,7989218,7989218,,0.00,0.00,0.01,0.00,, 
"Education, Training, Employment, And Social Services",Credit For Disabled Access Expenditures,1991,50000000.0,10000000.0,60000000.0,6110000000000.0,0.6258435163231808,79892175,15978435,95870611,0.11,0.00,0.00,0.29,0.02,, 
